faa,name,tz,tzone
04G,Lansdowne Airport,-5,America/New_York
06A,Moton Field Municipal Airport,-6,America/Chicago
06C,Schaumburg Regional,-6,America/Chicago
06N,Randall Airport,-5,America/New_York
09J,Jekyll Island Airport,-5,America/New_York
0A9,Elizabethton Municipal Airport,-5,America/New_York
0G6,Williams County Airport,-5,America/New_York
0G7,Finger Lakes Regional Airport,-5,America/New_York
0P2,Shoestring Aviation Airfield,-5,America/New_York
0S9,Jefferson County Intl,-8,America/Los_Angeles
0W3,Harford County Airport,-5,America/New_York
10C,Galt Field Airport,-6,America/Chicago
17G,Port Bucyrus-Crawford County Airport,-5,America/New_York
19A,Jackson County Airport,-5,America/New_York
1A3,Martin Campbell Field Airport,-5,America/New_York
1B9,Mansfield Municipal,-5,America/New_York
1C9,Frazier Lake Airpark,-8,America/Vancouver
1CS,Clow International Airport,-6,America/Chicago
1G3,Kent State Airport,-5,America/New_York
1G4,Grand Canyon West Airport,-7,America/Phoenix
1H2,Effingham Memorial Airport,-6,America/Chicago
1OH,Fortman Airport,-5,America/New_York
1RL,Point Roberts Airpark,-8,America/Los_Angeles
23M,Clarke CO,-6,America/Chicago
24C,Lowell City Airport,-5,America/New_York
24J,Suwannee County Airport,-5,America/New_York
25D,Forest Lake Airport,-6,America/Chicago
29D,Grove City Airport,-5,America/New_York
2A0,Mark Anton Airport,-5,America/New_York
2B2,Plum Island Airport,-5,America/New_York
2G2,Jefferson County Airpark,-5,America/New_York
2G9,Somerset County Airport,-5,America/New_York
2H0,Shelby County Airport,-6,America/Chicago
2J9,Quincy Municipal Airport,-5,America/New_York
369,Atmautluak Airport,-9,America/Anchorage
36U,Heber City Municipal Airport,-7,America/Denver
38W,Lynden Airport,-8,America/Los_Angeles
3D2,Ephraim-Gibraltar Airport,-6,America/Chicago
3G3,Wadsworth Municipal,-5,America/New_York
3G4,Ashland County Airport,-5,America/New_York
3J1,Ridgeland Airport,-5,America/New_York
3W2,Put-in-Bay Airport,-5,America/New_York
40J,Perry-Foley Airport,-5,America/New_York
41N,Braceville Airport,-5,America/New_York
47A,Cherokee County Airport,-5,America/New_York
49A,Gilmer County Airport,-5,America/New_York
49X,Chemehuevi Valley,-8,America/Los_Angeles
4A4,Polk County Airport - Cornelius Moore Field,-5,America/New_York
4A7,Clayton County Tara Field,-5,America/New_York
4A9,Isbell Field Airport,-6,America/Chicago
4B8,Robertson Field,-5,America/New_York
4G0,Pittsburgh-Monroeville Airport,-5,America/New_York
4G2,Hamburg Inc Airport,-5,America/New_York
4G4,Youngstown Elser Metro Airport,-5,America/New_York
4I7,Putnam County Airport,-5,America/New_York
4U9,Dell Flight Strip,-7,America/Denver
52A,Madison GA Municipal Airport,-5,America/New_York
54J,DeFuniak Springs Airport,-6,America/Chicago
55J,Fernandina Beach Municipal Airport,-5,America/New_York
55S,Packwood,-8,America/Los_Angeles
57C,East Troy Municipal Airport,-6,America/Chicago
5B2,Saratoga County Airport,-5,America/New_York
60J,Ocean Isle Beach Airport,-5,America/New_York
6A2,Griffin-Spalding County Airport,-5,America/New_York
6J4,Saluda County,-5,America/New_York
6K8,Tok Junction Airport,-9,America/Anchorage
6S0,Big Timber Airport,-7,America/Denver
6S2,Florence,-8,America/Los_Angeles
6Y8,Welke Airport,-5,America/New_York
70J,Cairo-Grady County Airport,-5,America/New_York
70N,Spring Hill Airport,-5,America/New_York
7A4,Foster Field,-6,America/Chicago
7D9,Germack Airport,-5,America/New_York
7N7,Spitfire Aerodrome,-5,America/New_York
8M8,Garland Airport,-5,America/New_York
93C,Richland Airport,-6,America/Chicago
99N,Bamberg County Airport,-5,America/New_York
9A1,Covington Municipal Airport,-5,America/New_York
9A5,Barwick Lafayette Airport,-5,America/New_York
9G1,Rock Airport,-5,America/New_York
A39,Phoenix Regional Airport,-7,America/Phoenix
A50,Colorado Springs East,-7,America/Denver
AAF,Apalachicola Regional Airport,-5,America/New_York
AAP,Andrau Airport,-6,America/Chicago
ABE,Lehigh Valley Intl,-5,America/New_York
ABI,Abilene Rgnl,-6,America/Chicago
ABL,Ambler Airport,-9,America/Anchorage
ABQ,Albuquerque International Sunport,-7,America/Denver
ABR,Aberdeen Regional Airport,-6,America/Chicago
ABY,Southwest Georgia Regional Airport,-5,America/New_York
ACJ,Jimmy Carter Regional,-5,America/New_York
ACK,Nantucket Mem,-5,America/New_York
ACT,Waco Rgnl,-6,America/Chicago
ACV,Arcata,-8,America/Los_Angeles
ACY,Atlantic City Intl,-5,America/New_York
ADK,Adak Airport,-9,America/Anchorage
ADM,Ardmore Muni,-6,America/Chicago
ADQ,Kodiak,-9,America/Anchorage
ADS,Addison,-6,America/Chicago
ADW,Andrews Afb,-5,America/New_York
AET,Allakaket Airport,-9,America/Anchorage
AEX,Alexandria Intl,-6,America/Chicago
AFE,Kake Airport,-9,America/Anchorage
AFW,Fort Worth Alliance Airport,-6,America/Chicago
AGC,Allegheny County Airport,-5,America/New_York
AGN,Angoon Seaplane Base,-9,America/Anchorage
AGS,Augusta Rgnl At Bush Fld,-5,America/New_York
AHN,Athens Ben Epps Airport,-5,America/New_York
AIA,Alliance Municipal Airport,-7,America/Denver
AIK,Municipal Airport,-5,America/New_York
AIN,Wainwright Airport,-9,America/Anchorage
AIZ,Lee C Fine Memorial Airport,-6,America/Chicago
AKB,Atka Airport,-9,America/Anchorage
AKC,Akron Fulton Intl,-5,America/New_York
AKI,Akiak Airport,-9,America/Anchorage
AKK,Akhiok Airport,-9,America/Anchorage
AKN,King Salmon,-9,America/Anchorage
AKP,Anaktuvuk Pass Airport,-9,America/Anchorage
ALB,Albany Intl,-5,America/New_York
ALI,Alice Intl,-6,America/Chicago
ALM,Alamogordo White Sands Regional Airport,-7,America/Denver
ALO,Waterloo Regional Airport,-6,America/Chicago
ALS,San Luis Valley Regional Airport,-7,America/Denver
ALW,Walla Walla Regional Airport,-8,America/Los_Angeles
ALX,Alexandria,-5,America/New_York
ALZ,Alitak Seaplane Base,-9,America/Anchorage
AMA,Rick Husband Amarillo Intl,-6,America/Chicago
ANB,Anniston Metro,-6,America/Chicago
ANC,Ted Stevens Anchorage Intl,-9,America/Anchorage
AND,Anderson Rgnl,-5,America/New_York
ANI,Aniak Airport,-9,America/Anchorage
ANN,Annette Island,-9,America/Anchorage
ANP,Lee Airport,-5,America/New_York
ANQ,Tri-State Steuben County Airport,-5,America/New_York
ANV,Anvik Airport,-9,America/Anchorage
AOH,Lima Allen County Airport,-5,America/New_York
AOO,Altoona Blair Co,-5,America/New_York
AOS,Amook Bay Seaplane Base,-9,America/Anchorage
APA,Centennial,-7,America/Denver
APC,Napa County Airport,-8,America/Los_Angeles
APF,Naples Muni,-5,America/New_York
APG,Phillips Aaf,-5,America/New_York
APN,Alpena County Regional Airport,-5,America/New_York
AQC,Klawock Seaplane Base,-9,America/Anchorage
ARA,Acadiana Rgnl,-6,America/Chicago
ARB,Ann Arbor Municipal Airport,-5,America/New_York
ARC,Arctic Village Airport,-9,America/Anchorage
ART,Watertown Intl,-5,America/New_York
ARV,Lakeland,-6,America/Chicago
ASE,Aspen Pitkin County Sardy Field,-7,America/Denver
ASH,Boire Field Airport,-5,America/New_York
AST,Astoria Regional Airport,-8,America/Los_Angeles
ATK,Atqasuk Edward Burnell Sr Memorial Airport,-9,America/Anchorage
ATL,Hartsfield Jackson Atlanta Intl,-5,America/New_York
ATT,Camp Mabry Austin City,-6,America/Chicago
ATW,Appleton,-6,America/Chicago
ATY,Watertown Regional Airport,-6,America/Chicago
AUG,Augusta State,-5,America/New_York
AUK,Alakanuk Airport,-9,America/Anchorage
AUO,Auburn University Regional,-6,America/Chicago
AUS,Austin Bergstrom Intl,-6,America/Chicago
AUW,Wausau Downtown Airport,-6,America/Chicago
AVL,Asheville Regional Airport,-5,America/New_York
AVO,Executive,-5,America/New_York
AVP,Wilkes Barre Scranton Intl,-5,America/New_York
AVW,Marana Regional,-7,America/Phoenix
AVX,Avalon,-8,America/Los_Angeles
AZA,Phoenix-Mesa Gateway,-7,America/Phoenix
AZO,Kalamazoo,-5,America/New_York
BAB,Beale Afb,-8,America/Los_Angeles
BAD,Barksdale Afb,-6,America/Chicago
BAF,Barnes Municipal,-5,America/New_York
BBX,Wings Field,-5,America/New_York
BCE,Bryce Canyon,-7,America/Denver
BCT,Boca Raton,-5,America/New_York
BDE,Baudette Intl,-6,America/Chicago
BDL,Bradley Intl,-5,America/New_York
BDR,Igor I Sikorsky Mem,-5,America/New_York
BEC,Beech Factory Airport,-6,America/Chicago
BED,Laurence G Hanscom Fld,-5,America/New_York
BEH,Southwest Michigan Regional Airport,-5,America/New_York
BET,Bethel,-9,America/Anchorage
BFD,Bradford Regional Airport,-5,America/New_York
BFF,Western Nebraska Regional Airport,-7,America/Denver
BFI,Boeing Fld King Co Intl,-8,America/Los_Angeles
BFL,Meadows Fld,-8,America/Los_Angeles
BFM,Mobile Downtown,-6,America/Chicago
BFP,Beaver Falls,-5,America/New_York
BFT,Beaufort,-5,America/New_York
BGE,Decatur County Industrial Air Park,-5,America/New_York
BGM,Greater Binghamton Edwin A Link Fld,-5,America/New_York
BGR,Bangor Intl,-5,America/New_York
BHB,Hancock County - Bar Harbor,-5,America/New_York
BHM,Birmingham Intl,-6,America/Chicago
BID,Block Island State Airport,-5,America/New_York
BIF,Biggs Aaf,-7,America/Denver
BIG,Allen Aaf,-9,America/Anchorage
BIL,Billings Logan International Airport,-7,America/Denver
BIS,Bismarck Municipal Airport,-6,America/Chicago
BIV,Tulip City Airport,-5,America/New_York
BIX,Keesler Afb,-6,America/Chicago
BJC,Rocky Mountain Metropolitan Airport,-7,America/Denver
BJI,Bemidji Regional Airport,-6,America/Chicago
BKC,Buckland Airport,-9,America/Anchorage
BKD,Stephens Co,-6,America/Chicago
BKF,Buckley Afb,-7,America/Denver
BKG,Branson LLC,-6,America/Chicago
BKH,Barking Sands Pmrf,-10,Pacific/Honolulu
BKL,Burke Lakefront Airport,-5,America/New_York
BKW,Raleigh County Memorial Airport,-5,America/New_York
BKX,Brookings Regional Airport,-6,America/Chicago
BLD,Boulder City Municipal Airport,-7,America/Phoenix
BLF,Mercer County Airport,-5,America/New_York
BLH,Blythe Airport,-8,America/Los_Angeles
BLI,Bellingham Intl,-8,America/Los_Angeles
BLV,Scott Afb Midamerica,-6,America/Chicago
BMC,Brigham City,-7,America/Denver
BMG,Monroe County Airport,-5,America/New_York
BMI,Central Illinois Rgnl,-6,America/Chicago
BMT,Beaumont Municipal,-6,America/Chicago
BMX,Big Mountain Afs,-9,America/Anchorage
BNA,Nashville Intl,-6,America/Chicago
BOI,Boise Air Terminal,-7,America/Denver
BOS,General Edward Lawrence Logan Intl,-5,America/New_York
BOW,Bartow Municipal Airport,-5,America/New_York
BPT,Southeast Texas Rgnl,-6,America/Chicago
BQK,Brunswick Golden Isles Airport,-5,America/New_York
BRD,Brainerd Lakes Rgnl,-6,America/Chicago
BRL,Southeast Iowa Regional Airport,-6,America/Chicago
BRO,Brownsville South Padre Island Intl,-6,America/Chicago
BRW,Wiley Post Will Rogers Mem,-9,America/Anchorage
BSF,Bradshaw Aaf,-10,Pacific/Honolulu
BTI,Barter Island Lrrs,-9,America/Anchorage
BTM,Bert Mooney Airport,-7,America/Denver
BTR,Baton Rouge Metro Ryan Fld,-6,America/Chicago
BTT,Bettles,-9,America/Anchorage
BTV,Burlington Intl,-5,America/New_York
BUF,Buffalo Niagara Intl,-5,America/New_York
BUR,Bob Hope,-8,America/Los_Angeles
BUU,Municipal Airport,-6,America/Chicago
BUY,Burlington-Alamance Regional Airport,-5,America/New_York
BVY,Beverly Municipal Airport,-5,America/New_York
BWD,KBWD,-6,America/Chicago
BWG,Bowling Green-Warren County Regional Airport,-6,America/Chicago
BWI,Baltimore Washington Intl,-5,America/New_York
BXK,Buckeye Municipal Airport,-7,America/Phoenix
BXS,Borrego Valley Airport,-8,America/Los_Angeles
BYH,Arkansas Intl,-6,America/Chicago
BYS,Bicycle Lake Aaf,-8,America/Los_Angeles
BYW,Blakely Island Airport,-8,America/Los_Angeles
BZN,Gallatin Field,-7,America/Denver
C02,Grand Geneva Resort Airport,-6,America/Chicago
C16,Frasca Field,-6,America/Chicago
C47,Portage Municipal Airport,-6,America/Chicago
C65,Plymouth Municipal Airport,-5,America/New_York
C89,Sylvania Airport,-6,America/Chicago
C91,Dowagiac Municipal Airport,-5,America/New_York
CAE,Columbia Metropolitan,-5,America/New_York
CAK,Akron Canton Regional Airport,-5,America/New_York
CAR,Caribou Muni,-5,America/New_York
CBE,Greater Cumberland Rgnl.,-5,America/New_York
CBM,Columbus Afb,-6,America/Chicago
CCO,Coweta County Airport,-5,America/New_York
CCR,Buchanan Field Airport,-8,America/Los_Angeles
CDB,Cold Bay,-9,America/Anchorage
CDC,Cedar City Rgnl,-7,America/Denver
CDI,Cambridge Municipal Airport,-5,America/New_York
CDK,CedarKey,-5,America/New_York
CDN,Woodward Field,-5,America/New_York
CDR,Chadron Municipal Airport,-7,America/Denver
CDS,Childress Muni,-6,America/Chicago
CDV,Merle K Mudhole Smith,-9,America/Anchorage
CDW,Caldwell Essex County Airport,-5,America/New_York
CEC,Del Norte County Airport,-8,America/Los_Angeles
CEF,Westover Arb Metropolitan,-5,America/New_York
CEM,Central Airport,-9,America/Anchorage
CEU,Clemson,-5,America/New_York
CEW,Bob Sikes,-6,America/Chicago
CEZ,Cortez Muni,-7,America/Denver
CFD,Coulter Fld,-6,America/Chicago
CGA,Craig Seaplane Base,-9,America/Anchorage
CGC,Crystal River,-5,America/New_York
CGF,Cuyahoga County,-5,America/New_York
CGI,Cape Girardeau Regional Airport,-6,America/Chicago
CGX,Meigs Field,-6,America/Chicago
CGZ,Casa Grande Municipal Airport,-7,America/Phoenix
CHA,Lovell Fld,-5,America/New_York
CHI,All Airports,-6,America/Chicago
CHO,Charlottesville-Albemarle,-5,America/New_York
CHS,Charleston Afb Intl,-5,America/New_York
CHU,Chuathbaluk Airport,-9,America/Anchorage
CIC,Chico Muni,-8,America/Los_Angeles
CID,Cedar Rapids,-6,America/Chicago
CIK,Chalkyitsik Airport,-9,America/Anchorage
CIL,Council Airport,-9,America/Anchorage
CIU,Chippewa County International Airport,-5,America/New_York
CKB,Harrison Marion Regional Airport,-5,America/New_York
CKD,Crooked Creek Airport,-9,America/Anchorage
CKF,Crisp County Cordele Airport,-5,America/New_York
CKV,Clarksville-Montgomery County Regional Airport,-6,America/Chicago
CLC,Clear Lake Metroport,-6,America/Chicago
CLD,McClellan-Palomar Airport,-8,America/Los_Angeles
CLE,Cleveland Hopkins Intl,-5,America/New_York
CLL,Easterwood Fld,-6,America/Chicago
CLM,William R Fairchild International Airport,-8,America/Los_Angeles
CLS,Chehalis-Centralia,-8,America/Los_Angeles
CLT,Charlotte Douglas Intl,-5,America/New_York
CLW,Clearwater Air Park,-5,America/New_York
CMH,Port Columbus Intl,-5,America/New_York
CMI,Champaign,-6,America/Chicago
CMX,Houghton County Memorial Airport,-5,America/New_York
CNM,Cavern City Air Terminal,-7,America/Denver
CNW,Tstc Waco,-6,America/Chicago
CNY,Canyonlands Field,-7,America/Denver
COD,Yellowstone Rgnl,-7,America/Denver
COE,Pappy Boyington,-8,America/Los_Angeles
COF,Patrick Afb,-5,America/New_York
COI,Merritt Island Airport,-5,America/New_York
CON,Concord Municipal,-5,America/New_York
COS,City Of Colorado Springs Muni,-7,America/Denver
COT,Cotulla Lasalle Co,-6,America/Chicago
COU,Columbia Rgnl,-6,America/Chicago
CPR,Natrona Co Intl,-7,America/Denver
CPS,St. Louis Downtown Airport,-6,America/Chicago
CRE,Grand Strand Airport,-5,America/New_York
CRP,Corpus Christi Intl,-6,America/Chicago
CRW,Yeager,-5,America/New_York
CSG,Columbus Metropolitan Airport,-5,America/New_York
CTB,Cut Bank Muni,-7,America/Denver
CTH,Chester County G O Carlson Airport,-5,America/New_York
CTJ,West Georgia Regional Airport - O V Gray Field,-5,America/New_York
CTY,Cross City,-5,America/New_York
CVG,Cincinnati Northern Kentucky Intl,-5,America/New_York
CVN,Clovis Muni,-7,America/Denver
CVO,Corvallis Muni,-8,America/Los_Angeles
CVS,Cannon Afb,-7,America/Denver
CVX,Charlevoix Municipal Airport,-5,America/New_York
CWA,Central Wisconsin,-6,America/Chicago
CWI,Clinton Municipal,-6,America/Chicago
CWT,Chatsworth Station,-8,America/Los_Angeles
CXF,Coldfoot Airport,-9,America/Anchorage
CXL,Calexico Intl,-8,America/Los_Angeles
CXO,Lone Star Executive,-6,America/Chicago
CXY,Capital City Airport,-5,America/New_York
CYF,Chefornak Airport,-9,America/Anchorage
CYM,Chatham Seaplane Base,-9,America/Anchorage
CYS,Cheyenne Rgnl Jerry Olson Fld,-7,America/Denver
CYT,Yakataga Airport,-9,America/Anchorage
CZF,Cape Romanzof Lrrs,-9,America/Anchorage
CZG,Tri-Cities,-5,America/New_York
CZN,Chisana Airport,-9,America/Anchorage
DAB,Daytona Beach Intl,-5,America/New_York
DAL,Dallas Love Fld,-6,America/Chicago
DAW,Skyhaven Airport,-5,America/New_York
DAY,James M Cox Dayton Intl,-5,America/New_York
DBN,W H Barron Field,-5,America/New_York
DBQ,Dubuque Rgnl,-6,America/Chicago
DCA,Ronald Reagan Washington Natl,-5,America/New_York
DDC,Dodge City Regional Airport,-6,America/Chicago
DEC,Decatur,-6,America/Chicago
DEN,Denver Intl,-7,America/Denver
DET,Coleman A Young Muni,-5,America/New_York
DFW,Dallas Fort Worth Intl,-6,America/Chicago
DGL,Douglas Municipal Airport,-7,America/Phoenix
DHB,Deer Harbor Seaplane,-8,America/Los_Angeles
DHN,Dothan Rgnl,-6,America/Chicago
DHT,Dalhart Muni,-6,America/Chicago
DIK,Dickinson Theodore Roosevelt Regional Airport,-7,America/Denver
DKB,De Kalb Taylor Municipal Airport,-6,America/Chicago
DKK,Chautauqua County-Dunkirk Airport,-5,America/New_York
DKX,Knoxville Downtown Island Airport,-5,America/New_York
DLF,Laughlin Afb,-6,America/Chicago
DLG,Dillingham,-9,America/Anchorage
DLH,Duluth Intl,-6,America/Chicago
DLL,Baraboo Wisconsin Dells Airport,-6,America/Chicago
DMA,Davis Monthan Afb,-7,America/Phoenix
DNL,Daniel Field Airport,-5,America/New_York
DNN,Dalton Municipal Airport,-5,America/New_York
DNV,Vermilion Regional,-6,America/Chicago
DOV,Dover Afb,-5,America/New_York
DPA,Dupage,-6,America/Chicago
DQH,Douglas Municipal Airport,-5,America/New_York
DRG,Deering Airport,-9,America/Anchorage
DRI,Beauregard Rgnl,-6,America/Chicago
DRM,Drummond Island Airport,-5,America/New_York
DRO,Durango La Plata Co,-7,America/Denver
DRT,Del Rio Intl,-6,America/Chicago
DSM,Des Moines Intl,-6,America/Chicago
DTA,Delta Municipal Airport,-7,America/Denver
DTS,Destin,-6,America/Chicago
DTW,Detroit Metro Wayne Co,-5,America/New_York
DUC,Halliburton Field Airport,-6,America/Chicago
DUG,Bisbee Douglas Intl,-7,America/Phoenix
DUJ,DuBois Regional Airport,-5,America/New_York
DUT,Unalaska,-9,America/Anchorage
DVL,Devils Lake Regional Airport,-6,America/Chicago
DVT,Deer Valley Municipal Airport,8,Asia/Chongqing
DWA,Yolo County Airport,-8,America/Los_Angeles
DWH,David Wayne Hooks Field,-6,America/Chicago
DWS,Orlando,-5,America/New_York
DXR,Danbury Municipal Airport,-5,America/New_York
DYS,Dyess Afb,-6,America/Chicago
E25,Wickenburg Municipal Airport,-7,America/Phoenix
E51,Bagdad Airport,-7,America/Phoenix
E55,Ocean Ridge Airport,-8,America/Los_Angeles
E63,Gila Bend Municipal Airport,-7,America/Phoenix
E91,Chinle Municipal Airport,-7,America/Denver
EAA,Eagle Airport,-9,America/Anchorage
EAR,Kearney Municipal Airport,-6,America/Chicago
EAT,Pangborn Field,-8,America/Los_Angeles
EAU,Chippewa Valley Regional Airport,-6,America/Chicago
ECA,Iosco County,-5,America/New_York
ECG,Elizabeth City Cgas Rgnl,-5,America/New_York
ECP,Panama City-NW Florida Bea.,-6,America/Chicago
EDF,Elmendorf Afb,-9,America/Anchorage
EDW,Edwards Afb,-8,America/Los_Angeles
EEK,Eek Airport,-9,America/Anchorage
EEN,Dillant Hopkins Airport,-5,NA
EET,Shelby County Airport,-6,America/Chicago
EFD,Ellington Fld,-6,America/Chicago
EGA,Eagle County Airport,-7,America/Denver
EGE,Eagle Co Rgnl,-7,America/Denver
EGT,Wellington Municipal,-6,America/Chicago
EGV,Eagle River,-6,America/Chicago
EGX,Egegik Airport,-9,America/Anchorage
EHM,Cape Newenham Lrrs,-9,America/Anchorage
EIL,Eielson Afb,-9,America/Anchorage
EKI,Elkhart Municipal,-5,America/New_York
EKN,Elkins Randolph Co Jennings Randolph,-5,America/New_York
EKO,Elko Regional Airport,-8,America/Los_Angeles
EKY,Bessemer,-6,America/Chicago
ELD,South Arkansas Rgnl At Goodwin Fld,-6,America/Chicago
ELI,Elim Airport,-9,America/Anchorage
ELM,Elmira Corning Rgnl,-5,America/New_York
ELP,El Paso Intl,-7,America/Denver
ELV,Elfin Cove Seaplane Base,-9,America/Anchorage
ELY,Ely Airport,-8,America/Los_Angeles
EMK,Emmonak Airport,-9,America/Anchorage
EMP,Emporia Municipal Airport,-6,America/Chicago
ENA,Kenai Muni,-9,America/Anchorage
END,Vance Afb,-6,America/Chicago
ENV,Wendover,-7,America/Denver
ENW,Kenosha Regional Airport,-6,America/Chicago
EOK,Keokuk Municipal Airport,-6,America/Chicago
EPM,Eastport Municipal Airport,-5,America/New_York
EQY,Monroe Reqional Airport,-5,America/New_York
ERI,Erie Intl Tom Ridge Fld,-5,America/New_York
ERV,Kerrville Municipal Airport,-6,America/Chicago
ERY,Luce County Airport,-5,America/New_York
ESC,Delta County Airport,-5,America/New_York
ESD,Orcas Island Airport,-8,America/Los_Angeles
ESF,Esler Rgnl,-6,America/Chicago
ESN,Easton-Newnam Field Airport,-5,America/New_York
EUF,Weedon Field,-6,America/Chicago
EUG,Mahlon Sweet Fld,-8,America/Los_Angeles
EVV,Evansville Regional,-6,America/Chicago
EVW,Evanston-Uinta CO Burns Fld,-7,America/Denver
EWB,New Bedford Regional Airport,-5,America/New_York
EWK,Newton City-County Airport,-6,America/Chicago
EWN,Craven Co Rgnl,-5,America/New_York
EWR,Newark Liberty Intl,-5,America/New_York
EXI,Excursion Inlet Seaplane Base,-9,America/Anchorage
EYW,Key West Intl,-5,America/New_York
F57,Seaplane Base,-5,America/New_York
FAF,Felker Aaf,-5,America/New_York
FAI,Fairbanks Intl,-9,America/Anchorage
FAR,Hector International Airport,-6,America/Chicago
FAT,Fresno Yosemite Intl,-8,America/Los_Angeles
FAY,Fayetteville Regional Grannis Field,-5,America/New_York
FBG,Fredericksburg Amtrak Station,-5,America/New_York
FBK,Ladd Aaf,-9,America/Anchorage
FBR,Fort Bridger,-7,America/Denver
FBS,Friday Harbor Seaplane Base,-8,America/Los_Angeles
FCA,Glacier Park Intl,-7,America/Denver
FCM,Flying Cloud Airport,-6,America/Chicago
FCS,Butts Aaf,-7,America/Denver
FDW,Fairfield County Airport,-5,America/New_York
FDY,Findlay Airport,-5,America/New_York
FFA,First Flight Airport,-5,America/New_York
FFC,Atlanta Regional Airport - Falcon Field,-5,America/New_York
FFO,Wright Patterson Afb,-5,America/New_York
FFT,Capital City Airport,-5,America/New_York
FFZ,Mesa Falcon Field,-7,America/Phoenix
FHU,Sierra Vista Muni Libby Aaf,-7,America/Phoenix
FIT,Fitchburg Municipal Airport,-5,America/New_York
FKL,Franklin,-5,America/New_York
FLD,Fond Du Lac County Airport,-6,America/Chicago
