faa,name,tz,tzone
FLG,Flagstaff Pulliam Airport,-7,America/Phoenix
FLL,Fort Lauderdale Hollywood Intl,-5,America/New_York
FLO,Florence Rgnl,-5,America/New_York
FLV,Sherman Aaf,-6,America/Chicago
FME,Tipton,-5,America/New_York
FMH,Otis Angb,-5,America/New_York
FMN,Four Corners Rgnl,-7,America/Denver
FMY,Page Fld,-5,America/New_York
FNL,Fort Collins Loveland Muni,-7,America/Denver
FNR,Funter Bay Seaplane Base,-9,America/Anchorage
FNT,Bishop International,-5,America/New_York
FOD,Fort Dodge Rgnl,-6,America/Chicago
FOE,Forbes Fld,-6,America/Chicago
FOK,Francis S Gabreski,-5,America/New_York
FRD,Friday Harbor Airport,-8,America/Los_Angeles
FRI,Marshall Aaf,-6,America/Chicago
FRN,Bryant Ahp,-9,America/Anchorage
FRP,St Lucie County International Airport,-5,America/New_York
FSD,Sioux Falls,-6,America/Chicago
FSI,Henry Post Aaf,-6,America/Chicago
FSM,Fort Smith Rgnl,-6,America/Chicago
FST,Fort Stockton Pecos Co,-6,America/Chicago
FTK,Godman Aaf,-5,America/New_York
FTW,Fort Worth Meacham Intl,-6,America/Chicago
FTY,Fulton County Airport Brown Field,-5,America/New_York
FUL,Fullerton Municipal Airport,-8,America/Los_Angeles
FWA,Fort Wayne,-5,America/New_York
FXE,Fort Lauderdale Executive,-5,America/New_York
FYU,Fort Yukon,-9,America/Anchorage
FYV,Drake Fld,-6,America/Chicago
FZG,Fitzgerald Municipal Airport,-5,America/New_York
FZI,Fostoria Metropolitan Airport,-5,America/New_York
GAD,Northeast Alabama Regional Airport,-6,America/Chicago
GAI,Montgomery County Airpark,-5,America/New_York
GAL,Edward G Pitka Sr,-9,America/Anchorage
GAM,Gambell Airport,-9,America/Anchorage
GBN,Great Bend Municipal,-6,America/Chicago
GCC,Gillette-Campbell County Airport,-7,America/Denver
GCK,Garden City Rgnl,-6,America/Chicago
GCN,Grand Canyon National Park Airport,-7,America/Phoenix
GCW,Grand Canyon West Airport,-7,America/Phoenix
GDV,Dawson Community Airport,-7,America/Denver
GDW,Gladwin Zettel Memorial Airport,-5,America/New_York
GED,Sussex Co,-5,America/New_York
GEG,Spokane Intl,-8,America/Los_Angeles
GEU,Glendale Municipal Airport,-7,America/Phoenix
GFK,Grand Forks Intl,-6,America/Chicago
GFL,Floyd Bennett Memorial Airport,-5,America/New_York
GGE,Georgetown County Airport,-5,America/New_York
GGG,East Texas Rgnl,-6,America/Chicago
GGW,Wokal Field Glasgow International Airport,-7,America/Denver
GHG,Marshfield Municipal Airport,-5,America/New_York
GIF,Gilbert Airport,-5,America/New_York
GJT,Grand Junction Regional,-7,America/Denver
GKN,Gulkana,-9,America/Anchorage
GKY,Arlington Municipal,-6,America/Chicago
GLD,Renner Fld,-7,America/Denver
GLH,Mid Delta Regional Airport,-6,America/Chicago
GLS,Scholes Intl At Galveston,-6,America/Chicago
GLV,Golovin Airport,-9,America/Anchorage
GNT,Grants Milan Muni,-7,America/Denver
GNU,Goodnews Airport,-9,America/Anchorage
GNV,Gainesville Rgnl,-5,America/New_York
GON,Groton New London,-5,America/New_York
GPT,Gulfport-Biloxi,-6,America/Chicago
GPZ,Grand Rapids Itasca County,-6,America/Chicago
GQQ,Galion Municipal Airport,-5,America/New_York
GRB,Austin Straubel Intl,-6,America/Chicago
GRF,Gray Aaf,-8,America/Los_Angeles
GRI,Central Nebraska Regional Airport,-6,America/Chicago
GRK,Robert Gray Aaf,-6,America/Chicago
GRM,Grand Marais Cook County Airport,-6,America/Chicago
GRR,Gerald R Ford Intl,-5,America/New_York
GSB,Seymour Johnson Afb,-5,America/New_York
GSO,Piedmont Triad,-5,America/New_York
GSP,Greenville-Spartanburg International,-5,America/New_York
GST,Gustavus Airport,-9,America/Anchorage
GTB,Wheeler Sack Aaf,-5,America/New_York
GTF,Great Falls Intl,-7,America/Denver
GTR,Golden Triangle Regional Airport,-6,America/Chicago
GTU,Georgetown Municipal Airport,-6,America/Chicago
GUC,Gunnison - Crested Butte,-7,America/Denver
GUP,Gallup Muni,-7,America/Denver
GUS,Grissom Arb,-5,America/New_York
GVL,Lee Gilmer Memorial Airport,-5,America/New_York
GVQ,Genesee County Airport,-5,America/New_York
GVT,Majors,-6,America/Chicago
GWO,Greenwood Leflore,-6,America/Chicago
GYY,Gary Chicago International Airport,-6,America/Chicago
HBG,Hattiesburg Bobby L. Chain Municipal Airport,-6,America/Chicago
HBR,Hobart Muni,-6,America/Chicago
HCC,Columbia County,-5,America/New_York
HCR,Holy Cross Airport,-9,America/Anchorage
HDH,Dillingham,-10,Pacific/Honolulu
HDI,Hardwick Field Airport,-5,America/New_York
HDN,Yampa Valley,-7,America/Denver
HDO,Hondo Municipal Airport,-6,America/Chicago
HFD,Hartford Brainard,-5,America/New_York
HGR,Hagerstown Regional Richard A Henson Field,-5,America/New_York
HHH,Hilton Head,-5,America/New_York
HHI,Wheeler Aaf,-10,Pacific/Honolulu
HHR,Jack Northrop Fld Hawthorne Muni,-8,America/Los_Angeles
HIB,Chisholm Hibbing,-6,America/Chicago
HIF,Hill Afb,-7,America/Denver
HII,Lake Havasu City Airport,-7,America/Phoenix
HIO,Portland Hillsboro,-8,America/Los_Angeles
HKB,Healy River Airport,-9,America/Anchorage
HKY,Hickory Rgnl,-5,America/New_York
HLG,Wheeling Ohio County Airport,-5,America/New_York
HLN,Helena Rgnl,-7,America/Denver
HLR,Hood Aaf,-6,America/Chicago
HMN,Holloman Afb,-7,America/Denver
HNH,Hoonah Airport,-9,America/Anchorage
HNL,Honolulu Intl,-10,Pacific/Honolulu
HNM,Hana,-10,Pacific/Honolulu
HNS,Haines Airport,-9,America/Anchorage
HOB,Lea Co Rgnl,-7,America/Denver
HOM,Homer,-9,America/Anchorage
HON,Huron Rgnl,-6,America/Chicago
HOP,Campbell Aaf,-6,America/Chicago
HOT,Memorial Field,-6,America/Chicago
HOU,William P Hobby,-6,America/Chicago
HPB,Hooper Bay Airport,-9,America/Anchorage
HPN,Westchester Co,-5,America/New_York
HQM,Bowerman Field,-8,America/Los_Angeles
HQU,McDuffie County Airport,-5,America/New_York
HRL,Valley Intl,-6,America/Chicago
HRO,Boone Co,-6,America/Chicago
HRT,Hurlburt Fld,-6,America/Chicago
HSH,Henderson Executive Airport,-8,America/Los_Angeles
HSL,Huslia Airport,-9,America/Anchorage
HST,Homestead Arb,-5,America/New_York
HSV,Huntsville International Airport-Carl T Jones Field,-6,America/Chicago
HTL,Roscommon Co,-5,America/New_York
HTS,Tri State Milton J Ferguson Field,-5,America/New_York
HUA,Redstone Aaf,-6,America/Chicago
HUF,Terre Haute Intl Hulman Fld,-5,America/New_York
HUL,Houlton Intl,-5,America/New_York
HUS,Hughes Airport,-9,America/Anchorage
HUT,Hutchinson Municipal Airport,-6,America/Chicago
HVN,Tweed-New Haven Airport,-5,America/New_York
HVR,Havre City Co,-7,America/Denver
HWD,Hayward Executive Airport,-8,America/Los_Angeles
HWO,North Perry,-5,America/New_York
HXD,Hilton Head Airport,-5,America/New_York
HYA,Barnstable Muni Boardman Polando Fld,-5,America/New_York
HYG,Hydaburg Seaplane Base,-9,America/Anchorage
HYL,Hollis Seaplane Base,-9,America/Anchorage
HYS,Hays Regional Airport,-6,America/Chicago
HZL,Hazleton Municipal,-5,America/New_York
IAB,Mc Connell Afb,-6,America/Chicago
IAD,Washington Dulles Intl,-5,America/New_York
IAG,Niagara Falls Intl,-5,America/New_York
IAH,George Bush Intercontinental,-6,America/Chicago
IAN,Bob Baker Memorial Airport,-9,America/Anchorage
ICT,Wichita Mid Continent,-6,America/Chicago
ICY,Icy Bay Airport,-9,America/Anchorage
IDA,Idaho Falls Rgnl,-7,America/Denver
IDL,Idlewild Intl,-5,America/New_York
IFP,Laughlin-Bullhead Intl,-7,America/Phoenix
IGG,Igiugig Airport,-9,America/Anchorage
IGM,Kingman Airport,-7,America/Phoenix
IGQ,Lansing Municipal,-6,America/Chicago
IJD,Windham Airport,-5,America/New_York
IKK,Greater Kankakee,-6,America/Chicago
IKO,Nikolski Air Station,-9,America/Anchorage
IKR,Kirtland Air Force Base,-7,America/Denver
IKV,Ankeny Regl Airport,-6,America/Chicago
ILG,New Castle,-5,America/New_York
ILI,Iliamna,-9,America/Anchorage
ILM,Wilmington Intl,-5,America/New_York
ILN,Wilmington Airborne Airpark,-5,America/New_York
IMM,Immokalee,-5,America/New_York
IMT,Ford Airport,-6,America/Chicago
IND,Indianapolis Intl,-5,America/New_York
INJ,Hillsboro Muni,-6,America/Chicago
INK,Winkler Co,-6,America/Chicago
INL,Falls Intl,-6,America/Chicago
INS,Creech Afb,-8,America/Los_Angeles
INT,Smith Reynolds,-5,America/New_York
INW,Winslow-Lindbergh Regional Airport,-7,America/Phoenix
IOW,Iowa City Municipal Airport,-6,America/Chicago
IPL,Imperial Co,-8,America/Los_Angeles
IPT,Williamsport Rgnl,-5,America/New_York
IRC,Circle City Airport,-9,America/Anchorage
IRK,Kirksville Regional Airport,-6,America/Chicago
ISM,Kissimmee Gateway Airport,-5,America/New_York
ISN,Sloulin Fld Intl,-6,America/Chicago
ISO,Kinston Regional Jetport,-5,America/New_York
ISP,Long Island Mac Arthur,-5,America/New_York
ISW,Alexander Field South Wood County Airport,-6,America/Chicago
ITH,Ithaca Tompkins Rgnl,-5,America/New_York
ITO,Hilo Intl,-10,Pacific/Honolulu
IWD,Gogebic Iron County Airport,-6,America/Chicago
IWS,West Houston,-6,America/Chicago
IYK,Inyokern Airport,-8,America/Los_Angeles
IZG,Eastern Slopes Regional,-5,America/New_York
JAC,Jackson Hole Airport,-7,America/Denver
JAN,Jackson Evers Intl,-6,America/Chicago
JAX,Jacksonville Intl,-5,America/New_York
JBR,Jonesboro Muni,-6,America/Chicago
JCI,New Century AirCenter Airport,-6,America/Chicago
JEF,Jefferson City Memorial Airport,-6,America/Chicago
JES,Jesup-Wayne County Airport,-5,America/New_York
JFK,John F Kennedy Intl,-5,America/New_York
JGC,Grand Canyon Heliport,-7,America/Phoenix
JHM,Kapalua,-10,Pacific/Honolulu
JHW,Chautauqua County-Jamestown,-5,America/New_York
JKA,Jack Edwards Airport,-6,America/Chicago
JLN,Joplin Rgnl,-6,America/Chicago
JMS,Jamestown Regional Airport,-6,America/Chicago
JNU,Juneau Intl,-9,America/Anchorage
JOT,Regional Airport,-6,America/Chicago
JRA,West 30th St. Heliport,-5,America/New_York
JRB,Wall Street Heliport,-5,America/New_York
JST,John Murtha Johnstown-Cambria County Airport,-5,America/New_York
JVL,Southern Wisconsin Regional Airport,-6,America/Chicago
JXN,Reynolds Field,-5,America/New_York
JYL,Plantation Airpark,-5,America/New_York
JYO,Leesburg Executive Airport,-5,America/New_York
JZP,Pickens County Airport,-5,America/New_York
K03,Wainwright As,-9,America/Anchorage
K27,Burrello-Mechanicville Airport,-5,America/New_York
K83,Sabetha Municipal,-6,America/Chicago
KAE,Kake Seaplane Base,-9,America/Anchorage
KAL,Kaltag Airport,-9,America/Anchorage
KBC,Birch Creek Airport,-9,America/Anchorage
KBW,Chignik Bay Seaplane Base,-9,America/Anchorage
KCC,Coffman Cove Seaplane Base,-9,America/Anchorage
KCL,Chignik Lagoon Airport,-9,America/Anchorage
KCQ,Chignik Lake Airport,-9,America/Anchorage
KEH,Kenmore Air Harbor Inc Seaplane Base,-8,America/Los_Angeles
KEK,Ekwok Airport,-9,America/Anchorage
KFP,False Pass Airport,-9,America/Anchorage
KGK,Koliganek Airport,-9,America/Anchorage
KGX,Grayling Airport,-9,America/Anchorage
KKA,Koyuk Alfred Adams Airport,-9,America/Anchorage
KKB,Kitoi Bay Seaplane Base,-9,America/Anchorage
KKH,Kongiganak Airport,-9,America/Anchorage
KLG,Kalskag Airport,-9,America/Anchorage
KLL,Levelock Airport,-9,America/Anchorage
KLN,Larsen Bay Airport,-9,America/Anchorage
KLS,Kelso Longview,-8,America/Los_Angeles
KLW,Klawock Airport,-9,America/Anchorage
KMO,Manokotak Airport,-9,America/Anchorage
KMY,Moser Bay Seaplane Base,-9,America/Anchorage
KNW,New Stuyahok Airport,-9,America/Anchorage
KOA,Kona Intl At Keahole,-10,Pacific/Honolulu
KOT,Kotlik Airport,-9,America/Anchorage
KOY,Olga Bay Seaplane Base,-9,America/Anchorage
KOZ,Ouzinkie Airport,-9,America/Anchorage
KPB,Point Baker Seaplane Base,-9,America/Anchorage
KPC,Port Clarence Coast Guard Station,-9,America/Anchorage
KPN,Kipnuk Airport,-9,America/Anchorage
KPR,Port Williams Seaplane Base,-9,America/Anchorage
KPV,Perryville Airport,-9,America/Anchorage
KPY,Port Bailey Seaplane Base,-9,America/Anchorage
KQA,Akutan Seaplane Base,-9,America/Anchorage
KSM,St Marys Airport,-9,America/Anchorage
KTB,Thorne Bay Seaplane Base,-9,America/Anchorage
KTN,Ketchikan Intl,-9,America/Anchorage
KTS,Brevig Mission Airport,-9,America/Anchorage
KUK,Kasigluk Airport,-9,America/Anchorage
KVC,King Cove Airport,-9,America/Anchorage
KVL,Kivalina Airport,-9,America/Anchorage
KWK,Kwigillingok Airport,-9,America/Anchorage
KWN,Quinhagak Airport,-9,America/Anchorage
KWP,West Point Village Seaplane Base,-9,America/Anchorage
KWT,Kwethluk Airport,-9,America/Anchorage
KYK,Karuluk Airport,-9,America/Anchorage
KYU,Koyukuk Airport,-9,America/Anchorage
KZB,Zachar Bay Seaplane Base,-9,America/Anchorage
L06,Furnace Creek,-8,America/Los_Angeles
L35,Big Bear City,-8,America/Los_Angeles
L52,Oceano County Airport,-8,America/Los_Angeles
LAA,Lamar Muni,-7,America/Denver
LAF,Purude University Airport,-5,America/New_York
LAL,Lakeland Linder Regional Airport,-5,America/New_York
LAM,Los Alamos Airport,-7,America/Denver
LAN,Capital City,-5,America/New_York
LAR,Laramie Regional Airport,-7,America/Denver
LAS,Mc Carran Intl,-8,America/Los_Angeles
LAW,Lawton-Fort Sill Regional Airport,-6,America/Chicago
LAX,Los Angeles Intl,-8,America/Los_Angeles
LBB,Lubbock Preston Smith Intl,-6,America/Chicago
LBE,Arnold Palmer Regional Airport,-5,America/New_York
LBF,North Platte Regional Airport Lee Bird Field,-6,America/Chicago
LBL,Liberal Muni,-6,America/Chicago
LBT,Municipal Airport,-5,America/New_York
LCH,Lake Charles Rgnl,-6,America/Chicago
LCK,Rickenbacker Intl,-5,America/New_York
LCQ,Lake City Municipal Airport,-5,America/New_York
LDJ,Linden Airport,-5,America/New_York
LEB,Lebanon Municipal Airport,-5,America/New_York
LEW,Lewiston Maine,-5,America/New_York
LEX,Blue Grass,-5,America/New_York
LFI,Langley Afb,-5,America/New_York
LFK,Angelina Co,-6,America/Chicago
LFT,Lafayette Rgnl,-6,America/Chicago
LGA,La Guardia,-5,America/New_York
LGB,Long Beach,-8,America/Los_Angeles
LGC,LaGrange-Callaway Airport,-5,America/New_York
LGU,Logan-Cache,-7,America/Denver
LHD,Lake Hood Seaplane Base,-9,America/Anchorage
LHM,Lincoln Regional Airport Karl Harder Field,-8,America/Los_Angeles
LHV,William T. Piper Mem.,-5,America/New_York
LHX,La Junta Muni,-7,America/Denver
LIH,Lihue,-10,Pacific/Honolulu
LIT,Adams Fld,-6,America/Chicago
LIV,Livingood Airport,-9,America/Anchorage
LKE,Kenmore Air Harbor Seaplane Base,-8,America/Los_Angeles
LKK,Kulik Lake Airport,-9,America/Anchorage
LKP,Lake Placid Airport,-5,America/New_York
LMT,Klamath Falls Airport,-8,America/Los_Angeles
LNA,Palm Beach Co Park,-5,America/New_York
LNK,Lincoln,-6,America/Chicago
LNN,Lost Nation Municipal Airport,-5,America/New_York
LNR,Tri-County Regional Airport,-6,America/Chicago
LNS,Lancaster Airport,-5,America/New_York
LNY,Lanai,-10,Pacific/Honolulu
LOT,Lewis University Airport,-6,America/Chicago
LOU,Bowman Fld,-5,America/New_York
LOZ,London-Corbin Airport-MaGee Field,-5,America/New_York
LPC,Lompoc Airport,-8,America/Los_Angeles
LPR,Lorain County Regional Airport,-5,America/New_York
LPS,Lopez Island Airport,-8,America/Los_Angeles
LRD,Laredo Intl,-6,America/Chicago
LRF,Little Rock Afb,-6,America/Chicago
LRO,Mount Pleasant Regional-Faison Field,-5,NA
LRU,Las Cruces Intl,-7,America/Denver
LSE,La Crosse Municipal,-6,America/Chicago
LSF,Lawson Aaf,-5,America/New_York
LSV,Nellis Afb,-8,America/Los_Angeles
LTS,Altus Afb,-6,America/Chicago
LUF,Luke Afb,-7,America/Phoenix
LUK,Cincinnati Muni Lunken Fld,-5,America/New_York
LUP,Kalaupapa Airport,-10,Pacific/Honolulu
LUR,Cape Lisburne Lrrs,-9,America/Anchorage
LVK,Livermore Municipal,-8,America/Los_Angeles
LVM,Mission Field Airport,-7,America/Denver
LVS,Las Vegas Muni,-7,America/Denver
LWA,South Haven Area Regional Airport,-5,America/New_York
LWB,Greenbrier Valley Airport,-5,America/New_York
LWC,Lawrence Municipal,-6,America/Chicago
LWM,Lawrence Municipal Airport,-5,America/New_York
LWS,Lewiston Nez Perce Co,-8,America/Los_Angeles
LWT,Lewistown Municipal Airport,-7,America/Denver
LXY,Mexia - Limestone County Airport,-6,America/Chicago
LYH,Lynchburg Regional Preston Glenn Field,-5,America/New_York
LYU,Ely Municipal,-6,America/Chicago
LZU,Gwinnett County Airport-Briscoe Field,-5,America/New_York
M94,Desert Aire,-8,America/Los_Angeles
MAE,Madera Municipal Airport,-8,America/Los_Angeles
MAF,Midland Intl,-6,America/Chicago
MBL,Manistee County-Blacker Airport,-5,America/New_York
MBS,Mbs Intl,-5,America/New_York
MCC,Mc Clellan Afld,-8,America/Los_Angeles
MCD,Mackinac Island Airport,-5,America/New_York
MCE,Merced Municipal Airport,-8,America/Los_Angeles
MCF,Macdill Afb,-5,America/New_York
MCG,McGrath Airport,-9,America/Anchorage
MCI,Kansas City Intl,-6,America/Chicago
MCK,McCook Regional Airport,-6,America/Chicago
MCL,McKinley National Park Airport,-9,America/Anchorage
MCN,Middle Georgia Rgnl,-5,America/New_York
MCO,Orlando Intl,-5,America/New_York
MCW,Mason City Municipal,-6,America/Chicago
MDT,Harrisburg Intl,-5,America/New_York
MDW,Chicago Midway Intl,-6,America/Chicago
ME5,Banks Airport,-5,America/New_York
MEI,Key Field,-6,America/Chicago
MEM,Memphis Intl,-6,America/Chicago
MER,Castle,-8,America/Los_Angeles
MFD,Mansfield Lahm Regional,-5,America/New_York
MFE,Mc Allen Miller Intl,-6,America/Chicago
MFI,Marshfield Municipal Airport,-6,America/Chicago
MFR,Rogue Valley Intl Medford,-8,America/Los_Angeles
MGC,Michigan City Municipal Airport,-6,America/Chicago
MGE,Dobbins Arb,-5,America/New_York
MGJ,Orange County Airport,-5,America/New_York
MGM,Montgomery Regional Airport,-6,America/Chicago
MGR,Moultrie Municipal Airport,-5,America/New_York
MGW,Morgantown Muni Walter L Bill Hart Fld,-5,America/New_York
MGY,Dayton-Wright Brothers Airport,-5,America/New_York
MHK,Manhattan Reigonal,-6,America/Chicago
MHM,Minchumina Airport,-9,America/Anchorage
MHR,Sacramento Mather,-8,America/Los_Angeles
MHT,Manchester Regional Airport,-5,America/New_York
MHV,Mojave,-8,America/Los_Angeles
MIA,Miami Intl,-5,America/New_York
MIB,Minot Afb,-6,America/Chicago
MIC,Crystal Airport,-6,America/Chicago
MIE,Delaware County Airport,-5,America/New_York
MIV,Millville Muni,-5,America/New_York
MKC,Downtown,-6,America/Chicago
MKE,General Mitchell Intl,-6,America/Chicago
MKG,Muskegon County Airport,-5,America/New_York
MKK,Molokai,-10,Pacific/Honolulu
MKL,Mc Kellar Sipes Rgnl,-6,America/Chicago
MKO,Davis Fld,-6,America/Chicago
MLB,Melbourne Intl,-5,America/New_York
MLC,Mc Alester Rgnl,-6,America/Chicago
MLD,Malad City,-7,America/Denver
MLI,Quad City Intl,-6,America/Chicago
MLJ,Baldwin County Airport,-5,America/New_York
MLL,Marshall Don Hunter Sr. Airport,-9,America/Anchorage
MLS,Frank Wiley Field,-7,America/Denver
MLT,Millinocket Muni,-5,America/New_York
MLU,Monroe Rgnl,-6,America/Chicago
MLY,Manley Hot Springs Airport,-9,America/Anchorage
MMH,Mammoth Yosemite Airport,-8,America/Los_Angeles
MMI,McMinn Co,-5,America/New_York
MMU,Morristown Municipal Airport,-5,America/New_York
MMV,Mc Minnville Muni,-8,America/Los_Angeles
MNM,Menominee Marinette Twin Co,-6,America/Chicago
MNT,Minto Airport,-9,America/Anchorage
MNZ,Manassas,-5,America/New_York
MOB,Mobile Rgnl,-6,America/Chicago
MOD,Modesto City Co Harry Sham,-8,America/Los_Angeles
MOT,Minot Intl,-6,America/Chicago
MOU,Mountain Village Airport,-9,America/Anchorage
MPB,Miami Seaplane Base,-5,America/New_York
MPI,MariposaYosemite,-8,America/Los_Angeles
MPV,Edward F Knapp State,-5,America/New_York
MQB,Macomb Municipal Airport,-6,America/Chicago
MQI,Dare County Regional,-5,America/New_York
MQT,Sawyer International Airport,-5,America/New_York
MRB,Eastern WV Regional Airport,-5,America/New_York
MRI,Merrill Fld,-9,America/Anchorage
MRK,Marco Islands,-5,America/New_York
MRN,Foothills Regional Airport,-5,America/New_York
MRY,Monterey Peninsula,-8,America/Los_Angeles
MSL,Northwest Alabama Regional Airport,-6,America/Chicago
MSN,Dane Co Rgnl Truax Fld,-6,America/Chicago
MSO,Missoula Intl,-7,America/Denver
MSP,Minneapolis St Paul Intl,-6,America/Chicago
MSS,Massena Intl Richards Fld,-5,America/New_York
MSY,Louis Armstrong New Orleans Intl,-6,America/Chicago
MTC,Selfridge Angb,-5,America/New_York
MTH,Florida Keys Marathon Airport,-5,America/New_York
MTJ,Montrose Regional Airport,-7,America/Denver
MTM,Metlakatla Seaplane Base,-9,America/Anchorage
MTN,Martin State,-5,America/New_York
MUE,Waimea Kohala,-10,Pacific/Honolulu
MUI,Muir Aaf,-5,America/New_York
MUO,Mountain Home Afb,-7,America/Denver
MVL,Morrisville Stowe State Airport,-5,America/New_York
MVY,Martha\\'s Vineyard,-5,America/New_York
MWA,Williamson Country Regional Airport,-6,America/Chicago
MWC,Lawrence J Timmerman Airport,-6,America/Chicago
MWH,Grant Co Intl,-8,America/Los_Angeles
MWL,Mineral Wells,-6,America/Chicago
MWM,Windom Municipal Airport,-6,America/Chicago
MXF,Maxwell Afb,-6,America/Chicago
MXY,McCarthy Airport,-9,America/Anchorage
MYF,Montgomery Field,8,Asia/Chongqing
MYL,McCall Municipal Airport,-7,America/Denver
MYR,Myrtle Beach Intl,-5,America/New_York
MYU,Mekoryuk Airport,-9,America/Anchorage
MYV,Yuba County Airport,-8,America/Los_Angeles
MZJ,Pinal Airpark,-7,America/Phoenix
N53,Stroudsburg-Pocono Airport,-5,America/New_York
N69,Stormville Airport,-5,America/New_York
N87,Trenton-Robbinsville Airport,-5,America/New_York
NBG,New Orleans Nas Jrb,-6,America/Chicago
NBU,Naval Air Station,-6,America/Chicago
NCN,Chenega Bay Airport,-9,America/Anchorage
NEL,Lakehurst Naes,-5,America/New_York
NEW,Lakefront,-6,America/Chicago
NFL,Fallon Nas,-8,America/Los_Angeles
NGF,Kaneohe Bay Mcaf,-10,Pacific/Honolulu
NGP,Corpus Christi NAS,-6,America/Chicago
NGU,Norfolk Ns,-5,America/New_York
NGZ,NAS Alameda,-8,America/Los_Angeles
NHK,Patuxent River Nas,-5,America/New_York
NIB,Nikolai Airport,-9,America/Anchorage
NID,China Lake Naws,-8,America/Los_Angeles
NIP,Jacksonville Nas,-5,America/New_York
NJK,El Centro Naf,-8,America/Los_Angeles
NKT,Cherry Point Mcas,-5,America/New_York
NKX,Miramar Mcas,-8,America/Los_Angeles
NLC,Lemoore Nas,-8,America/Los_Angeles
NLG,Nelson Lagoon,-9,America/Anchorage
NME,Nightmute Airport,-9,America/Anchorage
NMM,Meridian Nas,-6,America/Chicago
NNL,Nondalton Airport,-9,America/Anchorage
NOW,Port Angeles Cgas,-8,America/Los_Angeles
NPA,Pensacola Nas,-6,America/Chicago
NPZ,Porter County Municipal Airport,-6,America/Chicago
NQA,Millington Rgnl Jetport,-6,America/Chicago
NQI,Kingsville Nas,-6,America/Chicago
NQX,Key West Nas,-5,America/New_York
